Challenge,Org,Key Need 1,Key Need 2,Key Need 3,Key Need 4,Key Need 5,Key Need 6,Key Need 7,Key Need 8,Type,Stage,Geo 1,Geo 2,Geo 3,Tech 1,Tech 2,Tech 3,Tech 4,Tech 5,Tech 6,Tech 7,HQ Region
2020 Health Security & Pandemics Challenge,AHSA Platform,"Public Relations (e.g. branding/marketing strategy, social and global media)",Other,"Business model (e.g. product-market fit, strategy & development)",Legal or Regulatory Matters,"Financial (e.g. improving accounting practices, pitching to investors)",Noval,Noval,Noval,Hybrid of for-profit and nonprofit,Pilot,Sub-Saharan Africa,Noval,Noval,Artificial Intelligence / Machine Learning,Big Data,Internet of Things,Software and Mobile Applications,Noval,Noval,Noval,Sub-Saharan Africa
2020 Health Security & Pandemics Challenge,Biometricsfor vaccine delivery,Other,Other,Noval,Noval,Noval,Noval,Noval,Noval,Nonprofit,Pilot,Sub-Saharan Africa,South Asia,Noval,Artificial Intelligence / Machine Learning,Noval,Noval,Noval,Noval,Noval,Noval,Europe and Central Asia
2020 Health Security & Pandemics Challenge,Jute-based biodegradable PPE,Legal or Regulatory Matters,"Business model (e.g. product-market fit, strategy & development)",Noval,Noval,Noval,Noval,Noval,Noval,Nonprofit,Prototype,South Asia,Noval,Noval,Biotechnology / Bioengineering,Materials Science,Noval,Noval,Noval,Noval,Noval,South Asia
2020 Health Security & Pandemics Challenge,MapSights,Other,"Business model (e.g. product-market fit, strategy & development)","Financial (e.g. improving accounting practices, pitching to investors)",Noval,Noval,Noval,Noval,Noval,For-Profit,Prototype,South Asia,Noval,Noval,Artificial Intelligence / Machine Learning,Big Data,GIS and Geospatial Technology,Software and Mobile Applications,Noval,Noval,Noval,South Asia
2020 Health Security & Pandemics Challenge,Mosquito-borne disease prevention,"Financial (e.g. improving accounting practices, pitching to investors)",Other,Noval,Noval,Noval,Noval,Noval,Noval,For-Profit,Growth,North America,South Asia,Noval,Artificial Intelligence / Machine Learning,Crowd Sourced Service / Social Networks,GIS and Geospatial Technology,Internet of Things,Software and Mobile Applications,Noval,Noval,North America
2020 Health Security & Pandemics Challenge,PENSA *660#,"Business model (e.g. product-market fit, strategy & development)",Legal or Regulatory Matters,"Public Relations (e.g. branding/marketing strategy, social and global media)",Noval,Noval,Noval,Noval,Noval,For-Profit,Growth,Sub-Saharan Africa,Noval,Noval,Software and Mobile Applications,Noval,Noval,Noval,Noval,Noval,Noval,Sub-Saharan Africa
2020 Health Security & Pandemics Challenge,PODD,"Business model (e.g. product-market fit, strategy & development)",Product / Service Distribution (e.g. expanding client base),Noval,Noval,Noval,Noval,Noval,Noval,For-Profit,Growth,East Asia and Pacific,Noval,Noval,Crowd Sourced Service / Social Networks,GIS and Geospatial Technology,Software and Mobile Applications,Noval,Noval,Noval,Noval,East Asia and Pacific
2020 Indigenous Communities Fellowship,EA Ecoversity,"Technology (e.g. software or hardware, web development/design, data analysis, etc.)",Noval,Noval,Noval,Noval,Noval,Noval,Noval,For-Profit,Pilot,North America,Noval,Noval,Ancestral Technology & Practices,Artificial Intelligence / Machine Learning,Audiovisual Media,Crowd Sourced Service / Social Networks,GIS and Geospatial Technology,Internet of Things,Software and Mobile Applications,North America
2020 Indigenous Communities Fellowship,Food from Fire,"Financial (e.g. improving accounting practices, pitching to investors)",Noval,Noval,Noval,Noval,Noval,Noval,Noval,Not Registered,Prototype,North America,Noval,Noval,Ancestral Technology & Practices,GIS and Geospatial Technology,Noval,Noval,Noval,Noval,Noval,North America
2020 Indigenous Communities Fellowship,Indigenous DC,"Public Relations (e.g. branding/marketing strategy, social and global media)",Product / Service Distribution (e.g. expanding client base),Legal or Regulatory Matters,"Business model (e.g. product-market fit, strategy & development)",Noval,Noval,Noval,Noval,Not Registered,Growth,North America,Noval,Noval,GIS and Geospatial Technology,Software and Mobile Applications,Noval,Noval,Noval,Noval,Noval,North America
2020 Indigenous Communities Fellowship,Indigikitchen,Product / Service Distribution (e.g. expanding client base),Noval,Noval,Noval,Noval,Noval,Noval,Noval,For-Profit,Growth,North America,Noval,Noval,Ancestral Technology & Practices,Crowd Sourced Service / Social Networks,Noval,Noval,Noval,Noval,Noval,North America
2020 Indigenous Communities Fellowship,International Wakashan AI-Consortium,Legal or Regulatory Matters,"Financial (e.g. improving accounting practices, pitching to investors)","Technology (e.g. software or hardware, web development/design, data analysis, etc.)",Noval,Noval,Noval,Noval,Noval,Not Registered,Prototype,North America,Noval,Noval,Artificial Intelligence / Machine Learning,Audiovisual Media,Big Data,Software and Mobile Applications,Noval,Noval,Noval,North America
2020 Indigenous Communities Fellowship,Protect Medicinal Plants,Other,Noval,Noval,Noval,Noval,Noval,Noval,Noval,Not Registered,Prototype,North America,Noval,Noval,Ancestral Technology & Practices,GIS and Geospatial Technology,Imaging and sensor technology,Noval,Noval,Noval,Noval,North America
